App,Package,Start Time,Duration,Filename,,,,,,,,,,,
Group7,com.example.asu.mc.group7,"Apr 14, 2017 @ 01:08:36 PM",52 sec,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],GPU Frequency [KHz],Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz]
0,0,3,810000,4,918000,8,10,17,0,18,320000,23,32,24,918000
102,918000,102,1350000,103,918000,105,7,117,0,119,320000,122,44,124,918000
209,918000,210,918000,212,918000,213,0,229,22,230,320000,233,43,234,1134000
303,1350000,305,918000,306,918000,307,0,318,34,319,320000,322,56,323,1242000
406,1350000,407,918000,408,918000,409,0,421,34,422,320000,426,60,431,918000
507,918000,508,918000,512,918000,521,0,596,32,597,320000,602,67,603,1134000
636,1350000,638,1350000,639,918000,640,0,657,36,658,320000,661,45,662,918000
736,1134000,737,918000,739,918000,741,0,770,24,774,320000,780,56,781,918000
839,918000,844,918000,846,1350000,847,0,862,36,863,450000,867,58,869,1134000
941,918000,942,918000,942,1134000,944,0,958,24,960,450000,964,44,968,1242000
1041,918000,1048,918000,1050,0,1052,0,1072,22,1079,450000,1082,0,1084,918000
1151,918000,1152,384000,1153,0,1154,0,1167,10,1168,450000,1171,29,1173,918000
1252,0,1254,384000,1255,0,1256,0,1267,7,1268,450000,1271,0,1272,810000
1353,0,1354,810000,1355,0,1356,36,1366,10,1367,450000,1370,63,1371,918000
1461,0,1462,1350000,1463,0,1464,36,1475,15,1477,450000,1480,56,1481,918000
1562,0,1563,1134000,1563,0,1564,36,1570,19,1571,450000,1575,64,1579,1350000
1681,0,1682,918000,1683,0,1685,36,1696,12,1698,450000,1703,50,1705,918000
1781,0,1782,918000,1783,0,1784,36,1796,12,1799,450000,1801,47,1802,918000
1919,0,1920,918000,1921,0,1923,36,1931,11,1933,320000,1937,59,1938,918000
2020,0,2022,702000,2023,0,2025,36,2048,10,2050,320000,2058,41,2061,486000
2121,0,2122,918000,2124,0,2126,36,2140,9,2141,320000,2145,50,2146,918000
2175,0,2176,918000,2177,0,2178,36,2189,18,2191,320000,2194,70,2195,918000
2279,0,2280,918000,2281,0,2282,36,2297,11,2298,320000,2302,45,2303,810000
2380,0,2382,594000,2383,0,2390,20,2405,10,2407,320000,2411,59,2413,384000
2480,0,2481,918000,2482,0,2485,20,2499,12,2500,320000,2508,60,2510,918000
2581,0,2583,918000,2584,0,2585,20,2597,14,2599,320000,2604,60,2605,918000
2738,0,2739,918000,2739,0,2740,20,2746,11,2747,320000,2750,48,2751,1350000
2789,0,2790,1134000,2790,0,2791,20,2798,21,2799,200000,2801,72,2801,1350000
2929,0,2930,384000,2930,0,2931,20,2937,11,2939,128000,2941,46,2942,1350000
2979,0,2980,384000,2982,0,2983,20,2997,13,2998,128000,3017,63,3028,1350000
3082,0,3084,384000,3085,0,3089,20,3106,11,3108,128000,3116,61,3118,918000
3207,0,3208,1134000,3209,0,3211,20,3228,14,3229,128000,3234,52,3235,702000
3308,0,3310,486000,3311,0,3314,20,3340,8,3376,128000,3383,58,3385,1134000
3409,0,3409,1134000,3410,0,3411,32,3422,14,3426,128000,3431,60,3433,918000
3510,0,3511,918000,3512,0,3513,32,3524,14,3525,128000,3537,58,3538,918000
3610,0,3611,1134000,3611,0,3612,32,3619,14,3620,128000,3625,47,3627,918000
3711,0,3713,384000,3715,0,3717,32,3737,7,3742,128000,3759,50,3763,486000
3812,0,3814,384000,3816,0,3818,32,3841,9,3842,128000,3845,59,3846,918000
3913,0,3914,384000,3914,0,3918,32,3934,9,3936,128000,3944,50,3947,594000
4084,0,4085,810000,4085,0,4086,32,4092,15,4093,128000,4095,81,4096,1350000
4185,0,4186,384000,4187,0,4189,32,4216,7,4218,128000,4223,36,4268,918000
4317,0,4318,384000,4318,0,4319,32,4328,10,4330,128000,4333,59,4334,1026000
4428,0,4429,384000,4430,0,4431,48,4453,8,4456,128000,4460,52,4461,918000
4472,0,4476,384000,4477,0,4478,48,4487,9,4488,128000,4491,50,4492,918000
4623,0,4624,918000,4625,0,4626,48,4639,10,4640,128000,4643,53,4646,918000
4723,0,4724,918000,4725,0,4726,48,4736,12,4737,128000,4742,43,4743,594000
4824,0,4825,918000,4826,0,4827,48,4860,7,4862,128000,4875,48,4877,384000
4927,0,4928,918000,4929,0,4930,48,4936,10,4937,128000,4939,64,4940,1134000
5026,0,5027,918000,5028,0,5029,48,5039,9,5044,128000,5048,40,5050,918000
5128,0,5129,918000,5130,0,5131,48,5140,11,5141,128000,5149,36,5150,594000
5181,0,5182,594000,5185,0,5187,48,5207,10,5210,128000,5220,71,5222,384000
5281,0,5283,918000,5283,0,5285,48,5296,11,5297,128000,5300,52,5301,918000
5412,0,5413,384000,5413,0,5414,41,5419,17,5420,128000,5421,68,5422,1350000
5513,0,5515,384000,5518,0,5522,41,5562,6,5565,128000,5571,51,5574,384000
5615,0,5615,384000,5616,0,5617,41,5623,12,5626,128000,5628,63,5630,918000
5723,0,5724,1242000,5725,0,5726,41,5739,12,5742,128000,5747,55,5748,918000
